"Albania",784
"Andorra",5
"Belarus",574
"Belgium",4071
"Bosnia and Herzegovina",793
"Bulgaria",17109
"Cyprus",396
"GDR",0
"Estonia",1636
"Finland",5059
"France",14979
"Greece",6089
"Ireland",4002
"Iceland",9273
"Italy",26012
"Yugoslavia",97
"Yugoslavia, Federal Republic",24
"Kosovo",506
"Croatia",4703
"Latvia",6486
"Liechtenstein",29
"Lithuania",20515
"Luxembourg",231
"Malta",167
"Moldova",611
"Monaco",1
"Montenegro",186
"Netherlands",9885
"Northern Ireland",0
"Republic of North Macedonia",1148
"Norway",18711
"Poland",45780
"Portugal",9493
"Romania",57599
"Russia",4233
"San Marino",2
"Switzerland",2708
"Serbia",1475
"Serbia and Montenegro",29
"Slovakia",6191
"Slovenia",930
"Soviet Union",7
"Spain",18943
"United Kingdom",17035
"Sweden",18666
"Czech Republic",4604
"Czechoslovakia",18
"Turkey",6664
"Germany",39015
"Ukraine",54222
"Hungary",9289
"Vatican City State",1
"Austria",2904
"Europe not stated",5
"Algeria",280
"Angola",40
"Benin",33
"Botswana",21
"Burkina Faso",33
"Burundi",77
"Cameroon",760
"Central African Republic",25
"Comoros",3
"Congo, Democratic Republic",1002
"Congo, Republic",64
"Djibouti",6
"Egypt",1216
"Ivory Coast",115
"Eritrea",6531
"Eswantini",24
"Ethiopia",594
"Gabon",6
"Gambia, The",187
"Ghana",1347
"Guinea",40
"Guinea-Bissau",24
"Cape Verde",13
"Kenya",911
"Lesotho",7
"Liberia",32
"Libya",58
"Madagascar",26
"Malawi",18
"Mali",16
"Morocco",1129
"Mauritania",6
"Mauritius",62
"Mozambique",55
"Namibia",46
"Niger",13
"Nigeria",1158
"Reunion",0
"Rwanda",124
"Sao Tome and Principe",2
"Senegal",81
"Seychelles",6
"Sierra Leone",47
"Saint Helena",0
"Somalia",2040
"Spanish territories in Africa",0
"Sudan",276
"South Africa",1083
"South Sudan",16
"Southwest Africa",0
"Tanzania",494
"Chad",3
"Togo",28
"Tunisia",383
"Uganda",910
"Zambia",172
"Zimbabwe",145
"Equatorial Guinea",2
"Africa not stated",20
"Canada",5099
"USA",33318
"North America not stated",0
"Antigua and Barbuda",8
"Argentina",7027
"Aruba",0
"Bahamas",12
"Barbados",8
"Belize",3
"Bermuda",0
"Bolivia",113
"Brazil",5367
"British West Indies",0
"Chile",2844
"Colombia",1417
"Costa Rica",267
"Cuba",219
"Curacao",0
"Dominica",14
"Dominican Republic",95
"Ecuador",262
"El Salvador",53
"Falkland Islands",0
"French Guiana",0
"French West Indies",0
"Grenada",9
"Guadeloupe",0
"Guatemala",123
"Guyana",4
"Haiti",28
"Honduras",89
"Jamaica",52
"Martinique",0
"Mexico",2543
"Nauru",3
"Netherlands Antilles",0
"Nicaragua",86
"Panama",114
"Paraguay",70
"Peru",472
"Puerto Rico",0
"Saint Kitts and Nevis",8
"Saint Lucia",5
"Saint Vincent and the Grenadines",1
"Suriname",2
"Trinidad and Tobago",51
"Uruguay",104
"Venezuela",367
"West Indies",1
"South and central America not stated",1
"Abu Dhabi",0
"Afghanistan",3882
"Armenia",221
"Azerbaijan",255
"Bahrain",19
"Bangladesh",4116
"Bhutan",21
"Brunei",6
"Cambodia",130
"Dubai",0
"Philippines",11168
"United Arab Emirates",15
"Gaza",0
"Georgia",251
"Hong Kong",0
"India",26812
"Indochina",0
"Indonesia",1077
"Iraq",1883
"Iran",11049
"Israel",603
"Japan",4472
"Jordan",364
"Kazakhstan",293
"China",18541
"Kyrgyzstan",162
"Kuwait",16
"Laos",29
"Lebanon",777
"Macao",0
"Malaysia",666
"Maldives",16
"Middle East not stated",8
"Mongolia",46
"Myanmar",191
"Nepal",8584
"North Korea",297
"North Yemen",0
"Oman",16
"Pakistan",5336
"Palestine",0
"Qatar",15
"Saudi Arabia",88
"Sikkim",0
"Singapore",1714
"Sri Lanka",1078
"South Korea",2585
"Syria",32088
"Tajikistan",22
"Taiwan",848
"Thailand",4976
"Trucial Oman",0
"Turkmenistan",16
"Uzbekistan",268
"West Bank",0
"West bank and Gaza",0
"Vietnam",3152
"Yemen",73
"East Jerusalem",0
"Asia not stated",9
"Australia",5260
"Cook Islands",0
"Fiji",17
"French territories in the Pacific",0
"Kiribati",0
"Marshall Islands",0
"New Zealand",944
"Papua New Guinea",2
"Solomon Islands",2
"Samoa",5
"Tonga",1
"Tuvalu",1
"Vanuatu",5
"East Timor",1
"Pacific Islands",0
"Stateless",4507
"Not stated",3770
