"Abu Dhabi",0
"Afghanistan",3599
"Africa not stated",17
"Albania",984
"Algeria",286
"Andorra",6
"Angola",38
"Antigua and Barbuda",8
"Argentina",7291
"Armenia",201
"Aruba",0
"Asia not stated",9
"Australia",5472
"Austria",2924
"Azerbaijan",271
"Bahamas",12
"Bahrain",21
"Bangladesh",6289
"Barbados",8
"Belarus",583
"Belgium",4246
"Belize",3
"Benin",28
"Bermuda",0
"Bhutan",22
"Bolivia",112
"Bosnia and Herzegovina",792
"Botswana",21
"Brazil",5611
"British West Indies",0
"Brunei",6
"Bulgaria",16858
"Burkina Faso",32
"Burundi",77
"Cambodia",125
"Cameroon",756
"Canada",5159
"Cape Verde",13
"Central African Republic",12
"Chad",4
"Chile",3010
"China",19031
"Colombia",1410
"Comoros",3
"Congo, Democratic Republic",891
"Congo, Republic",53
"Cook Islands",0
"Costa Rica",261
"Croatia",4675
"Cuba",199
"Curacao",0
"Cyprus",444
"Czech Republic",4672
"Czechoslovakia",12
"Djibouti",6
"Dominica",14
"Dominican Republic",106
"Dubai",0
"East Jerusalem",0
"East Timor",1
"Ecuador",257
"Egypt",1239
"El Salvador",54
"Equatorial Guinea",2
"Eritrea",6470
"Estonia",1511
"Eswantini",24
"Ethiopia",567
"Europe not stated",6
"Falkland Islands",0
"Fiji",16
"Finland",4978
"France",15465
"French Guiana",0
"French territories in the Pacific",0
"French West Indies",0
"Gabon",5
"Gambia, The",185
"Gaza",0
"GDR",0
"Georgia",280
"Germany",40910
"Ghana",1372
"Greece",6413
"Grenada",6
"Guadeloupe",0
"Guatemala",132
"Guinea",35
"Guinea-Bissau",18
"Guyana",6
"Haiti",27
"Honduras",86
"Hong Kong",0
"Hungary",9245
"Iceland",9346
"India",27605
"Indochina",0
"Indonesia",1136
"Iran",12632
"Iraq",1830
"Ireland",4497
"Israel",691
"Italy",27691
"Ivory Coast",113
"Jamaica",50
"Japan",4852
"Jordan",364
"Kazakhstan",309
"Kenya",975
"Kiribati",0
"Kosovo",517
"Kuwait",14
"Kyrgyzstan",172
"Laos",27
"Latvia",6365
"Lebanon",793
"Lesotho",6
"Liberia",32
"Libya",56
"Liechtenstein",26
"Lithuania",19353
"Luxembourg",258
"Macao",0
"Madagascar",25
"Malawi",21
"Malaysia",704
"Maldives",17
"Mali",15
"Malta",181
"Marshall Islands",0
"Martinique",0
"Mauritania",4
"Mauritius",65
"Mexico",2691
"Middle East not stated",6
"Moldova",642
"Monaco",1
"Mongolia",46
"Montenegro",200
"Morocco",1124
"Mozambique",52
"Myanmar",200
"Namibia",49
"Nauru",3
"Nepal",11217
"Netherlands",10254
"Netherlands Antilles",0
"New Zealand",1001
"Nicaragua",77
"Niger",12
"Nigeria",1137
"North America not stated",0
"North Korea",265
"North Yemen",0
"Northern Ireland",0
"Norway",18611
"Not stated",3352
"Oman",10
"Pacific Islands",0
"Pakistan",5539
"Palestine",0
"Panama",118
"Papua New Guinea",2
"Paraguay",68
"Peru",533
"Philippines",10578
"Poland",44604
"Portugal",10266
"Puerto Rico",0
"Qatar",14
"Republic of North Macedonia",1224
"Reunion",0
"Romania",57634
"Russia",4038
"Rwanda",116
"Saint Helena",0
"Saint Kitts and Nevis",9
"Saint Lucia",4
"Saint Vincent and the Grenadines",1
"Samoa",5
"San Marino",2
"Sao Tome and Principe",2
"Saudi Arabia",76
"Senegal",79
"Serbia",1538
"Serbia and Montenegro",26
"Seychelles",5
"Sierra Leone",42
"Sikkim",0
"Singapore",1804
"Slovakia",5988
"Slovenia",925
"Solomon Islands",2
"Somalia",1280
"South Africa",1179
"South and central America not stated",1
"South Korea",2613
"South Sudan",14
"Southwest Africa",0
"Soviet Union",7
"Spain",19641
"Spanish territories in Africa",0
"Sri Lanka",1635
"Stateless",3946
"Sudan",224
"Suriname",2
"Sweden",19103
"Switzerland",2813
"Syria",27479
"Taiwan",885
"Tajikistan",23
"Tanzania",628
"Thailand",4783
"Togo",24
"Tonga",1
"Trinidad and Tobago",48
"Trucial Oman",0
"Tunisia",389
"Turkey",7195
"Turkmenistan",14
"Tuvalu",1
"Uganda",1375
"Ukraine",61566
"United Arab Emirates",15
"United Kingdom",16663
"Uruguay",108
"USA",34583
"Uzbekistan",323
"Vanuatu",5
"Vatican City State",1
"Venezuela",377
"Vietnam",4025
"West Bank",0
"West bank and Gaza",0
"West Indies",1
"Yemen",77
"Yugoslavia",86
"Yugoslavia, Federal Republic",19
"Zambia",166
"Zimbabwe",157
