Citizenship,Immigration_2023,Emigration_2023,Net_migration_2023,Percentage_stay_2023,Immigration_2024,Emigration_2024,Net_migration_2024,Percentage_stay_2024,Percentage_stay_change,Absolute_change
Somalia,2040.0,1902.0,138.0,6.8,1280.0,1911.0,-631.0,-49.3,-56.099999999999994,56.099999999999994
Sri Lanka,1078.0,451.0,627.0,58.2,1635.0,471.0,1164.0,71.2,13.0,13.0
Nepal,8584.0,4074.0,4510.0,52.5,11217.0,4212.0,7005.0,62.4,9.899999999999999,9.899999999999999
Croatia,4703.0,2016.0,2687.0,57.1,4675.0,2323.0,2352.0,50.3,-6.800000000000004,6.800000000000004
Turkey,6664.0,3985.0,2679.0,40.2,7195.0,3855.0,3340.0,46.4,6.199999999999996,6.199999999999996
Bangladesh,4116.0,1394.0,2722.0,66.1,6289.0,1750.0,4539.0,72.2,6.1000000000000085,6.1000000000000085
Romania,57599.0,32184.0,25415.0,44.1,57634.0,35540.0,22094.0,38.3,-5.800000000000004,5.800000000000004
Bulgaria,17109.0,9710.0,7399.0,43.2,16858.0,10420.0,6438.0,38.2,-5.0,5.0
Syria,32088.0,5761.0,26327.0,82.0,27479.0,6281.0,21198.0,77.1,-4.900000000000006,4.900000000000006
Poland,45780.0,28522.0,17258.0,37.7,44604.0,29876.0,14728.0,33.0,-4.700000000000003,4.700000000000003
Vietnam,3152.0,1384.0,1768.0,56.1,4025.0,1609.0,2416.0,60.0,3.8999999999999986,3.8999999999999986
Afghanistan,3882.0,826.0,3056.0,78.7,3599.0,898.0,2701.0,75.0,-3.700000000000003,3.700000000000003
Lithuania,20515.0,15764.0,4751.0,23.2,19353.0,15551.0,3802.0,19.6,-3.599999999999998,3.599999999999998
Ghana,1347.0,887.0,460.0,34.1,1372.0,856.0,516.0,37.6,3.5,3.5
Slovakia,6191.0,4560.0,1631.0,26.3,5988.0,4624.0,1364.0,22.8,-3.5,3.5
Germany,39015.0,26943.0,12072.0,30.9,40910.0,27000.0,13910.0,34.0,3.1000000000000014,3.1000000000000014
Colombia,1417.0,910.0,507.0,35.8,1410.0,945.0,465.0,33.0,-2.799999999999997,2.799999999999997
Iceland,9273.0,8197.0,1076.0,11.6,9346.0,8010.0,1336.0,14.3,2.700000000000001,2.700000000000001
Morocco,1129.0,417.0,712.0,63.1,1124.0,444.0,680.0,60.5,-2.6000000000000014,2.6000000000000014
Stateless,4507.0,661.0,3846.0,85.3,3946.0,677.0,3269.0,82.8,-2.5,2.5
France,14979.0,11847.0,3132.0,20.9,15465.0,11865.0,3600.0,23.3,2.400000000000002,2.400000000000002
Australia,5260.0,4696.0,564.0,10.7,5472.0,4755.0,717.0,13.1,2.4000000000000004,2.4000000000000004
Egypt,1216.0,706.0,510.0,41.9,1239.0,749.0,490.0,39.5,-2.3999999999999986,2.3999999999999986
Pakistan,5336.0,2941.0,2395.0,44.9,5539.0,2926.0,2613.0,47.2,2.3000000000000043,2.3000000000000043
Not stated,3770.0,895.0,2875.0,76.3,3352.0,871.0,2481.0,74.0,-2.299999999999997,2.299999999999997
Philippines,11168.0,9731.0,1437.0,12.9,10578.0,8976.0,1602.0,15.1,2.1999999999999993,2.1999999999999993
Thailand,4976.0,2426.0,2550.0,51.2,4783.0,2425.0,2358.0,49.3,-1.9000000000000057,1.9000000000000057
Eritrea,6531.0,525.0,6006.0,92.0,6470.0,629.0,5841.0,90.3,-1.7000000000000028,1.7000000000000028
