Citizenship,Immigration,Emigration,Net migration,Percentage stay
South and central America not stated,1,0,1,100.0
Tonga,1,0,1,100.0
Tuvalu,1,0,1,100.0
Vatican City State,1,0,1,100.0
Djibouti,6,0,6,100.0
Equatorial Guinea,2,0,2,100.0
Comoros,3,0,3,100.0
Eritrea,6531,525,6006,92.0
Grenada,9,1,8,88.9
Stateless,4507,661,3846,85.3
Syria,32088,5761,26327,82.0
"Congo, Democratic Republic",1002,188,814,81.2
Republic of North Macedonia,1148,242,906,78.9
Afghanistan,3882,826,3056,78.7
Not stated,3770,895,2875,76.3
Guinea-Bissau,24,6,18,75.0
Guyana,4,1,3,75.0
Saint Kitts and Nevis,8,2,6,75.0
South Sudan,16,4,12,75.0
Albania,784,213,571,72.8
Lesotho,7,2,5,71.4
Panama,114,35,79,69.3
Cape Verde,13,4,9,69.2
Iran,11049,3452,7597,68.8
Tajikistan,22,7,15,68.2
Central African Republic,25,8,17,68.0
"Gambia, The",187,61,126,67.4
Montenegro,186,61,125,67.2
Kosovo,506,166,340,67.2
Uganda,910,301,609,66.9
Asia not stated,9,3,6,66.7
United Arab Emirates,15,5,10,66.7
Gabon,6,2,4,66.7
Bangladesh,4116,1394,2722,66.1
Nicaragua,86,30,56,65.1
Ukraine,54222,19098,35124,64.8
Morocco,1129,417,712,63.1
Rwanda,124,48,76,61.3
Moldova,611,239,372,60.9
Haiti,28,11,17,60.7
Europe not stated,5,2,3,60.0
Tanzania,494,200,294,59.5
Armenia,221,92,129,58.4
Sri Lanka,1078,451,627,58.2
Cuba,219,92,127,58.0
Madagascar,26,11,15,57.7
Lebanon,777,332,445,57.3
Burundi,77,33,44,57.1
Croatia,4703,2016,2687,57.1
Botswana,21,9,12,57.1
Cambodia,130,57,73,56.2
Yemen,73,32,41,56.2
Turkmenistan,16,7,9,56.2
Vietnam,3152,1384,1768,56.1
Laos,29,13,16,55.2
Venezuela,367,166,201,54.8
Mozambique,55,25,30,54.5
Namibia,46,21,25,54.3
South Africa,1083,496,587,54.2
Jordan,364,169,195,53.6
"Congo, Republic",64,30,34,53.1
Azerbaijan,255,120,135,52.9
El Salvador,53,25,28,52.8
Nepal,8584,4074,4510,52.5
Serbia,1475,707,768,52.1
Tunisia,383,184,199,52.0
Dominican Republic,95,46,49,51.6
Thailand,4976,2426,2550,51.2
Kuwait,16,8,8,50.0
Dominica,14,7,7,50.0
Solomon Islands,2,1,1,50.0
Suriname,2,1,1,50.0
